type,id,name,gender,person,description
way,24307595,Albigstraße,M,Christian Gottlieb Albig,https://www.fuerthwiki.de/wiki/index.php?title=Albigstra%C3%9Fe
way,636967157,Amalienstraße,F,,https://www.fuerthwiki.de/wiki/index.php?title=Amalienstra%C3%9Fe
way,47139792,Amalienstraße,F,,https://www.fuerthwiki.de/wiki/index.php?title=Amalienstra%C3%9Fe
way,1475215930,Amalienstraße,F,,https://www.fuerthwiki.de/wiki/index.php?title=Amalienstra%C3%9Fe
way,146346088,Amalienstraße,F,,https://www.fuerthwiki.de/wiki/index.php?title=Amalienstra%C3%9Fe
way,622844922,Amalienstraße,F,,https://www.fuerthwiki.de/wiki/index.php?title=Amalienstra%C3%9Fe
way,47139795,Amalienstraße,F,,https://www.fuerthwiki.de/wiki/index.php?title=Amalienstra%C3%9Fe
way,24235619,Ammonstraße,M,Johann Philipp Paulus Ammon,https://www.fuerthwiki.de/wiki/index.php?title=Ammonstra%C3%9Fe
way,32317073,Annastraße,F,,https://www.fuerthwiki.de/wiki/index.php?title=Annastra%C3%9Fe
way,10429524,Annastraße,F,,https://www.fuerthwiki.de/wiki/index.php?title=Annastra%C3%9Fe
way,146346091,Balbiererstraße,F,Magdalena Geck,https://www.fuerthwiki.de/wiki/index.php?title=Balbiererstra%C3%9Fe
way,146346091,Balbiererstraße,F,Elisabetha Kunigunda Balbierer,https://www.fuerthwiki.de/wiki/index.php?title=Balbiererstra%C3%9Fe
way,146346091,Balbiererstraße,F,Margaretha Rosina Elisabetha Balbierer,https://www.fuerthwiki.de/wiki/index.php?title=Balbiererstra%C3%9Fe
way,146346092,Balbiererstraße,F,Magdalena Geck,https://www.fuerthwiki.de/wiki/index.php?title=Balbiererstra%C3%9Fe
way,146346092,Balbiererstraße,F,Elisabetha Kunigunda Balbierer,https://www.fuerthwiki.de/wiki/index.php?title=Balbiererstra%C3%9Fe
way,146346092,Balbiererstraße,F,Margaretha Rosina Elisabetha Balbierer,https://www.fuerthwiki.de/wiki/index.php?title=Balbiererstra%C3%9Fe
way,23319052,Baldstraße,M,Leonhard Friedrich Bald,https://www.fuerthwiki.de/wiki/index.php?title=Baldstra%C3%9Fe
way,23319052,Baldstraße,F,Margaretha Bald,https://www.fuerthwiki.de/wiki/index.php?title=Baldstra%C3%9Fe
way,141641222,Baldstraße,M,Leonhard Friedrich Bald,https://www.fuerthwiki.de/wiki/index.php?title=Baldstra%C3%9Fe
way,141641222,Baldstraße,F,Margaretha Bald,https://www.fuerthwiki.de/wiki/index.php?title=Baldstra%C3%9Fe
way,892420870,Bäumenstraße,M,Franz Joseph von Bäumen,https://www.fuerthwiki.de/wiki/index.php?title=B%C3%A4umenstra%C3%9Fe
way,37868694,Bäumenstraße,M,Franz Joseph von Bäumen,https://www.fuerthwiki.de/wiki/index.php?title=B%C3%A4umenstra%C3%9Fe
way,146518197,Bäumenstraße,M,Franz Joseph von Bäumen,https://www.fuerthwiki.de/wiki/index.php?title=B%C3%A4umenstra%C3%9Fe
way,144840996,Benno-Mayer-Straße,M,Benno Mayer,https://www.fuerthwiki.de/wiki/index.php?title=Benno-Mayer-Stra%C3%9Fe
way,59011047,Billinganlage,M,Friedrich Adam Billing,https://www.fuerthwiki.de/wiki/index.php?title=Billinganlage
way,948723733,Billinganlage,M,Friedrich Adam Billing,https://www.fuerthwiki.de/wiki/index.php?title=Billinganlage
way,1459809070,Billinganlage,M,Friedrich Adam Billing,https://www.fuerthwiki.de/wiki/index.php?title=Billinganlage
way,209823219,Billinganlage,M,Friedrich Adam Billing,https://www.fuerthwiki.de/wiki/index.php?title=Billinganlage
way,209977261,Billinganlage,M,Friedrich Adam Billing,https://www.fuerthwiki.de/wiki/index.php?title=Billinganlage
way,895877166,Billinganlage,M,Friedrich Adam Billing,https://www.fuerthwiki.de/wiki/index.php?title=Billinganlage
way,175187164,Billinganlage,M,Friedrich Adam Billing,https://www.fuerthwiki.de/wiki/index.php?title=Billinganlage
way,482044514,Billinganlage,M,Friedrich Adam Billing,https://www.fuerthwiki.de/wiki/index.php?title=Billinganlage
way,143064845,Billinganlage,M,Friedrich Adam Billing,https://www.fuerthwiki.de/wiki/index.php?title=Billinganlage
way,182775423,Billinganlage,M,Friedrich Adam Billing,https://www.fuerthwiki.de/wiki/index.php?title=Billinganlage
way,209977259,Billinganlage,M,Friedrich Adam Billing,https://www.fuerthwiki.de/wiki/index.php?title=Billinganlage
way,895877167,Billinganlage,M,Friedrich Adam Billing,https://www.fuerthwiki.de/wiki/index.php?title=Billinganlage
way,146518194,Billinganlage,M,Friedrich Adam Billing,https://www.fuerthwiki.de/wiki/index.php?title=Billinganlage
way,aaaaaaaa,Denglerstraße,F,Katharina Margaretha Salome Dengler,dsfddssffdfddfds
way,aaaaaaaa,Engelhardtsteg,M,Johann Wilhelm Engelhardt,dsfddssffdfddfds
way,188324863,Dieter-Streng-Straße,M,Dieter Streng,
way,1228478178,Dr.-Elisabeth-Hölzl-Straße,F,Else Hölzl,https://www.fuerthwiki.de/wiki/index.php?title=Dr.-Elisabeth-H%C3%B6lzl-Stra%C3%9Fe
way,1077919789,Dr.-Elisabeth-Hölzl-Straße,F,Else Hölzl,https://www.fuerthwiki.de/wiki/index.php?title=Dr.-Elisabeth-H%C3%B6lzl-Stra%C3%9Fe
way,1192477035,Dr.-Elisabeth-Hölzl-Straße,F,Else Hölzl,https://www.fuerthwiki.de/wiki/index.php?title=Dr.-Elisabeth-H%C3%B6lzl-Stra%C3%9Fe
way,146346096,Dr.-Frank-Straße,M,Jakob Frank,https://www.fuerthwiki.de/wiki/index.php?title=Jakob_Frank
way,24147629,Toni-Wolf-Straße,M,Toni Wolf,https://www.fuerthwiki.de/wiki/index.php?title=Toni-Wolf-Stra%C3%9Fe
way,24307429,Eckartstraße,M,Johann Friedrich Georg Eckart,https://www.fuerthwiki.de/wiki/index.php?title=Eckartstra%C3%9Fe
way,1427682280,Elfriede-und-Heinz-Bruder-Platz,F,Elfriede Bruder,https://www.fuerthwiki.de/wiki/index.php?title=Elfriede-und-Heinz-Bruder-Platz
