name,source,gender,wikidata,type
Geschwister-Scholl-Straße,wikidata,+,Q57820;Q76972,way
"Aussiger Straße",wikidata,-,Q156974,way
"Bremer Straße",wikidata,-,Q24879,way
"Breslauer Straße",wikidata,-,Q1799,way
"Cadolzburger Straße",wikidata,-,Q522025,way
"Coseler Straße",wikidata,-,Q364601,way
"Cuxhavener Straße",wikidata,-,Q4197,way
Dianastraße,wikidata,-,Q132543,way
"Erlanger Straße",wikidata,-,Q3126,way
"Flensburger Straße",wikidata,-,Q3798,way
"Flexdorfer Straße",wikidata,-,Q18020172,way
Frankenschnellweg,wikidata,-,Q10844,way
Gebrüder-Grimm-Straße,wikidata,-,Q2793,way
Hafenstraße,wikidata,-,Q19963795,way
"Herzogenauracher Straße",wikidata,-,Q1615401,way
"Husumer Weg",wikidata,-,Q21159,way
"Lycker Straße",wikidata,-,Q18028959,way
Mainstraße,wikidata,-,Q1670,way
"Nürnberger Straße",wikidata,-,Q2090,way
Pegnitzstraße,wikidata,-,Q163880,way
"Poppenreuther Straße",wikidata,-,Q2104231,way
"Schwabacher Straße",wikidata,-,Q14889,way
"Stadelner Straße",wikidata,-,Q2325970,way
Sudetenstraße,wikidata,-,Q194242,way
"Unterfürberger Straße",wikidata,-,Q18028959,way
"Vacher Straße",wikidata,-,Q1710810,way
"Veitsbronner Straße",wikidata,-,Q524234,way
"Würzburger Straße",wikidata,-,Q2999,way
Xylokastroplatz,wikidata,-,Q2248347,way
Zehentweg,wikidata,-,Q184664,way
"Zirndorfer Straße",wikidata,-,Q72977,way
"Zoppoter Straße",wikidata,-,Q92689,way
Dr.-Meyer-Spreckels-Straße,wikidata,F,Q94752890,way
Albert-Einstein-Straße,wikidata,M,Q937,way
Albert-Schweitzer-Straße,wikidata,M,Q49325,way
Albrecht-Dürer-Straße,wikidata,M,Q5580,way
Albrechtstraße,wikidata,M,Q44394161,way
Aldringerstraße,wikidata,M,Q62332,way
Alexanderstraße,wikidata,M,Q214044,way
Alfred-Nobel-Straße,wikidata,M,Q23810,way
Anzengruberstraße,wikidata,M,Q93718,way
Beethovenstraße,wikidata,M,Q255,way
Benno-Strauß-Straße,wikidata,M,Q818000,way
Bernhard-von-Weimar-Straße,wikidata,M,Q61118,way
Berolzheimerstraße,wikidata,M,Q1419786,way
Bismarckstraße,wikidata,M,Q8442,way
Boenerstraße,wikidata,M,Q1692320,way
Brahmsstraße,wikidata,M,Q7294,way
Bürkleinstraße,wikidata,M,Q70722,way
Buschingstraße,wikidata,M,Q15444972,way
